"uid","uname","bid","course","lid","chapter","total_attempt","total_error","accuracy"
"711","ccets","45749","Lifetime Repertoires: Taimanov Sicilian","2","1. 2nd Move Options #1","106","2","98.11"
"711","ccets","45749","Lifetime Repertoires: Taimanov Sicilian","7","7. The Alapin (Nf6)","1336","44","96.71"
"711","ccets","45749","Lifetime Repertoires: Taimanov Sicilian","30","Quickstarter","738","16","97.83"
"711","ccets","47615","How Good Is Your Chess?","0","1. Steaming Down the Open File","478","28","94.14"
"711","ccets","54542","Short & Sweet: Sam Shankland's 1. d4","0","Main Level","29","3","89.66"
"711","ccets","55082","Short & Sweet: Taimanov Sicilian","0","Main Level","72","0","100"
"726","epic5475","31529","Lifetime Repertoires: Semi-Slav","0","3. Early Sidelines","5540","311","94.39"
"726","epic5475","31529","Lifetime Repertoires: Semi-Slav","1","1. Introduction","16","0","100"
"726","epic5475","31529","Lifetime Repertoires: Semi-Slav","2","4. Veresov  (1. d4 d5 2. Nc3)","1041","51","95.1"
"726","epic5475","31529","Lifetime Repertoires: Semi-Slav","3","5. London (2. Bf4 c5)","12004","650","94.59"
"726","epic5475","31529","Lifetime Repertoires: Semi-Slav","4","6. The Dreaded Slav-Exchange","10752","507","95.28"
"726","epic5475","31529","Lifetime Repertoires: Semi-Slav","5","7. 4th moves","14863","666","95.52"
"726","epic5475","31529","Lifetime Repertoires: Semi-Slav","6","8. 4. e3","5533","296","94.65"
"726","epic5475","31529","Lifetime Repertoires: Semi-Slav","7","9. 5th moves","14811","795","94.63"
"726","epic5475","31529","Lifetime Repertoires: Semi-Slav","8","10. Delayed Meran (7. g4 h6)","2745","155","94.35"
"726","epic5475","31529","Lifetime Repertoires: Semi-Slav","9","11. Delayed Meran (7. b3)","4410","244","94.47"
"726","epic5475","31529","Lifetime Repertoires: Semi-Slav","10","12. Delayed Meran (9... b5 10. Be2)","27525","1300","95.28"
"726","epic5475","31529","Lifetime Repertoires: Semi-Slav","11","13. Delayed Meran (9... b5 10. Bd3)","16803","769","95.42"
"726","epic5475","31529","Lifetime Repertoires: Semi-Slav","12","14. Open Meran (8... Bd6)","20308","920","95.47"
"726","epic5475","31529","Lifetime Repertoires: Semi-Slav","13","16. Cambridge Springs (6. cxd5)","1226","50","95.92"
"726","epic5475","31529","Lifetime Repertoires: Semi-Slav","14","17. Cambridge Springs (6. e3 Qa5 7. cxd5)","5241","359","93.15"
"726","epic5475","31529","Lifetime Repertoires: Semi-Slav","15","18. Cambridge Springs (7. Nd2 Bb4)","5691","274","95.19"
"726","epic5475","31529","Lifetime Repertoires: Semi-Slav","17","2. Quickstarter Guide","6504","263","95.96"
"726","epic5475","31529","Lifetime Repertoires: Semi-Slav","18","15. Cambridge Springs - 6th moves","1309","61","95.34"
"726","epic5475","37366","Lifetime Repertoires: Caro-Kann","6","Chapter 10: 3.exd5","1066","60","94.37"
"726","epic5475","37366","Lifetime Repertoires: Caro-Kann","7","Chapter 11: Two Knights","14470","810","94.4"
"726","epic5475","37366","Lifetime Repertoires: Caro-Kann","16","Chapter 12: Sidelines on Move 2","226","6","97.35"
"726","epic5475","37366","Lifetime Repertoires: Caro-Kann","20","Chapter 4: Classical 4...Nf6","7480","395","94.72"
"726","epic5475","37366","Lifetime Repertoires: Caro-Kann","21","Quickstarter Guide","2647","86","96.75"
"726","epic5475","45388","Short & Sweet: The Caro-Kann","0","1. S&S: The Caro-Kann","5923","381","93.57"
"726","epic5475","51996","Short & Sweet: Botvinnik English","0","Main Level","1444","68","95.29"
"726","epic5475","52604","Winning Chess Tactics: Free Lesson","0","1. Winning Chess Tactics: Free Lesson","35","5","85.71"
"726","epic5475","57657","Short & Sweet: Queen's Gambit Declined","1","Short&Sweet","24","0","100"
"726","epic5475","59857","Short & Sweet: Wesley So's 1. e4","0","Part 1: 1...e5 and Semi-open Defenses","122","1","99.18"
"726","epic5475","59857","Short & Sweet: Wesley So's 1. e4","1","Part 2: Sicilian, Caro-Kann and French","120","9","92.5"
"726","epic5475","62034","Short & Sweet: 1. c4 / 1. Nf3 ","0","S&S: 1. c4/1. Nf3","36","0","100"
"825","Jrjrjr4","48516","25 Visualisation Exercises","2","2. Visualise 1 Sample Exercises","16","0","100"
"825","Jrjrjr4","50500","The Iron English: Botvinnik Variation","44","Quickstarter Guide","211","3","98.58"
"825","Jrjrjr4","51996","Short & Sweet: Botvinnik English","0","Main Level","900","37","95.89"
"825","Jrjrjr4","53985","Lifetime Repertoires: 1. c4 / 1. Nf3 Part 1","18","Introduction & Quickstarter Guide","3147","209","93.36"
"825","Jrjrjr4","54542","Short & Sweet: Sam Shankland's 1. d4","0","Main Level","8968","426","95.25"
"825","Jrjrjr4","62034","Short & Sweet: 1. c4 / 1. Nf3 ","0","S&S: 1. c4/1. Nf3","374","7","98.13"
"936","distantvoice","6371","Basic Endgames","0","1. Main Level","256","9","96.48"
"936","distantvoice","6371","Basic Endgames","1","2. Pawn Endgames","1168","11","99.06"
"936","distantvoice","6371","Basic Endgames","5","5. Mating with king and rook.","96","0","100"
"936","distantvoice","13769","Evans Gambit - Master's Guide","0","1. Accepted 5... Ba5","723","13","98.2"
"936","distantvoice","59936","Grandmaster Gambits: 1. e4","26","Theory 4: Advance French Introduction","4576","163","96.44"
"936","distantvoice","59936","Grandmaster Gambits: 1. e4","27","Theory 4A: Advance French 5th moves","297","10","96.63"
"936","distantvoice","59936","Grandmaster Gambits: 1. e4","28","Theory 4B: 5... Bd7","1081","36","96.67"
"936","distantvoice","59936","Grandmaster Gambits: 1. e4","29","Theory 4C: 5... Qb6","7278","265","96.36"
"964","Flexmaster","50034","Winning Chess Strategies: Free Lesson","2","1. Winning Chess Strategies: Free Lesson","36","11","69.44"
"964","Flexmaster","51081","Short & Sweet: Queen's Gambit Accepted","0","S&S: Queen's Gambit Accepted","402","9","97.76"
"964","Flexmaster","56567","Lifetime Repertoires: Najdorf Sicilian","2","4: 6.Bg5 e6 main line 10.g4 h6!?","29","1","96.55"
"964","Flexmaster","56567","Lifetime Repertoires: Najdorf Sicilian","10","10: 6.h3 e5 7.Nb3","56","1","98.21"
"964","Flexmaster","56567","Lifetime Repertoires: Najdorf Sicilian","19","13b: 6.Be2 e5 7.Nb3 Be6!? (Alternative)","111","2","98.2"
"964","Flexmaster","56567","Lifetime Repertoires: Najdorf Sicilian","20","14: 6.Bc4","101","2","98.02"
"964","Flexmaster","56567","Lifetime Repertoires: Najdorf Sicilian","22","23: 3. Bb5+ Nd7","115","2","98.26"
"964","Flexmaster","56567","Lifetime Repertoires: Najdorf Sicilian","29","29: Various 2nd moves","75","2","97.33"
"964","Flexmaster","56567","Lifetime Repertoires: Najdorf Sicilian","32","Quickstarter Guide","248","5","97.98"
"964","Flexmaster","62565","Agadmator's Anti-London System","0","The Combative 4... Qxb2","276","4","98.55"
"1004","ptmx","17354","Lifetime Repertoires: Nimzo-Ragozin","11","12. 1.d4 Deviations","4280","168","96.07"
"1004","ptmx","17354","Lifetime Repertoires: Nimzo-Ragozin","12","13. 1.Nf3","252","4","98.41"
"1004","ptmx","17354","Lifetime Repertoires: Nimzo-Ragozin","24","2. Quickstarter Guide","23436","906","96.13"
"1004","ptmx","23396","Keep it Simple: 1. d4","18","1. Quickstarter Guide","60","0","100"
"1004","ptmx","28285","Openings Oddities","1","2. Grob Attack 1.g4","254","7","97.24"
"1004","ptmx","28512","Fight Like Magnus: The Sicilian","6","12. Sidelines on move 2","1262","44","96.51"
"1004","ptmx","28512","Fight Like Magnus: The Sicilian","13","1. Quickstarter Guide","12420","518","95.83"
"1004","ptmx","29795","Too Hot To Handle: The King's Indian Defense","32","1. Quickstarter Guide","271","7","97.42"
"1004","ptmx","58407","Short & Sweet: Najdorf Sicilian","0","Main Level","289","5","98.27"
"1073","radpath","2261","The Sicilian Dragon- Tournament Edition","2","2. Fianchetto Variation","35","1","97.14"
"1073","radpath","2261","The Sicilian Dragon- Tournament Edition","3","3. Levenfish Variation","30","3","90"
"1073","radpath","37837","Short & Sweet: Chebanenko Slav","1","1. Short & Sweet: Chebanenko Slav","76","2","97.37"
"1073","radpath","45845","The High Pressure Alapin Sicilian","12","Quickstarter Guide","3744","92","97.54"
"1073","radpath","50034","Winning Chess Strategies: Free Lesson","2","1. Winning Chess Strategies: Free Lesson","122","15","87.7"
"1073","radpath","50173","Short and Sweet - Budapest Gambit","0","1. Main Level","27","0","100"
"1073","radpath","50526","Short & Sweet: Italian Game","0","1. Main Level","643","22","96.58"
"1073","radpath","51860","Short & Sweet: Ruy Lopez: Exchange","1","Main Level","626","19","96.96"
"1073","radpath","51996","Short & Sweet: Botvinnik English","0","Main Level","1319","48","96.36"
"1073","radpath","54461","Short & Sweet: Alapin","0","Short & Sweet: Alapin","8345","195","97.66"
"1073","radpath","55082","Short & Sweet: Taimanov Sicilian","0","Main Level","127","6","95.28"
"1073","radpath","56567","Lifetime Repertoires: Najdorf Sicilian","32","Quickstarter Guide","659","13","98.03"
"1073","radpath","57233","Winning Chess Brilliancies: Free Lesson","1","Slaying the Dragon","302","12","96.03"
"1073","radpath","57374","Short & Sweet: Chess Swindles","0","When to enter 'Swindle Mode'","43","3","93.02"
"1073","radpath","57401","Lifetime Repertoires: Queen's Gambit Declined","14","Quickstarter Guide","462","16","96.54"
"1073","radpath","57657","Short & Sweet: Queen's Gambit Declined","1","Short&Sweet","1219","38","96.88"
"1073","radpath","58407","Short & Sweet: Najdorf Sicilian","0","Main Level","2180","44","97.98"
"1073","radpath","59602","Winning Chess Endings","0","1. Basic Mates","528","0","100"
"1073","radpath","67152","Winning Chess Endings: Free Lesson","0","Winning Chess Endings: Free Lesson","45","1","97.78"
"1073","radpath","67777","Short & Sweet: The Catalan","0","S&S: The Catalan","65","6","90.77"
"1214","Bleddyn","10582","The Woodpecker Method","4","4. Easy Exercises","1359","110","91.91"
"1214","Bleddyn","10582","The Woodpecker Method","5","5. Intermediate Exercises","847","135","84.06"
"1244","MDKnights23","21812","The Killer Dutch Rebooted","3","1. An Introduction: Do's and Don'ts","365","26","92.88"
"1244","MDKnights23","21812","The Killer Dutch Rebooted","30","3. Main Line (8 Qc2 & 8 Qd3) - Theory","431","24","94.43"
"1244","MDKnights23","28333","The Jobava London System","1","1. Introduction: Common Ideas for White","1440","94","93.47"
"1244","MDKnights23","28333","The Jobava London System","3","3. Theory 1 (3... c5)","1406","86","93.88"
"1244","MDKnights23","28333","The Jobava London System","5","5. Theory 2 (3... Bf5)","2838","184","93.52"
"1244","MDKnights23","28333","The Jobava London System","11","11. Theory 5 (3... a6)","1532","64","95.82"
"1244","MDKnights23","28333","The Jobava London System","27","23. Theory 14 (1... f5)","232","16","93.1"
"1244","MDKnights23","38349","Lifetime Repertoires: Wesley So's 1. e4 (Part 1)","58","Quickstarter Guide","429","7","98.37"
"1244","MDKnights23","38349","Lifetime Repertoires: Wesley So's 1. e4 (Part 1)","59","1. 2nd move Sidelines after 1. e4 e5 2. Nf3","3286","35","98.93"
"1244","MDKnights23","38349","Lifetime Repertoires: Wesley So's 1. e4 (Part 1)","65","2. Italian 3rd move Sidelines","1933","25","98.71"
"1244","MDKnights23","38349","Lifetime Repertoires: Wesley So's 1. e4 (Part 1)","66","3. Two Knights Defence 3... Nf6 4. Ng5 Sidelines","5493","69","98.74"
"1244","MDKnights23","38349","Lifetime Repertoires: Wesley So's 1. e4 (Part 1)","67","4. Two Knights Defence – Main Line 8. Bd3","1839","35","98.1"
"1244","MDKnights23","38349","Lifetime Repertoires: Wesley So's 1. e4 (Part 1)","68","5. Italian 3... Bc5 – 8... Be7 & 8... Bb4+ Sidelines","846","14","98.35"
"1244","MDKnights23","51855","Lifetime Repertoires: Wesley So's 1. e4 (Part 2)","60","7. Rossolimo 2...Nc6 3.Bb5 − 3rd move Sidelines","911","17","98.13"
"1244","MDKnights23","51855","Lifetime Repertoires: Wesley So's 1. e4 (Part 2)","71","Quickstarter Guide − The Sicilian","891","18","97.98"
"1244","MDKnights23","55075","1. e4 e5 Club Player's Dynamite","2","Italian 4.Ng5","4816","270","94.39"
"1244","MDKnights23","55075","1. e4 e5 Club Player's Dynamite","4","Ruy Lopez Cozio 4. c3","1440","6","99.58"
"1244","MDKnights23","55075","1. e4 e5 Club Player's Dynamite","5","Ruy Lopez Cozio 4.d4","812","4","99.51"
"1244","MDKnights23","55075","1. e4 e5 Club Player's Dynamite","6","Ruy Lopez Cozio 4.0-0","5064","80","98.42"
"1244","MDKnights23","55075","1. e4 e5 Club Player's Dynamite","7","Ruy Lopez Cozio 4.Nc3","1352","4","99.7"
"1244","MDKnights23","55075","1. e4 e5 Club Player's Dynamite","22","King's Gambit 2.f4","1416","24","98.31"
"1244","MDKnights23","55075","1. e4 e5 Club Player's Dynamite","26","Quickstarter Guide","1160","100","91.38"
"1244","MDKnights23","62565","Agadmator's Anti-London System","0","The Combative 4... Qxb2","1274","13","98.98"
"1407","berrieds","37837","Short & Sweet: Chebanenko Slav","1","1. Short & Sweet: Chebanenko Slav","18","0","100"
"1580","fcstfan","8992","Demolish White With The Sicilian: A Complete Repertoire Against 1.e4: Part 1 ","0","1. Introduction To Sicilian Kan","12","0","100"
"1580","fcstfan","8992","Demolish White With The Sicilian: A Complete Repertoire Against 1.e4: Part 1 ","1","2. 5.c4","432","57","86.81"
"1580","fcstfan","22327","Mayhem In The Morra","0","1. Introduction","52","4","92.31"
"1580","fcstfan","22327","Mayhem In The Morra","1","6. Siberian Wilderness","60","6","90"
"1580","fcstfan","22327","Mayhem In The Morra","15","2. Chase The Black Queen","126","25","80.16"
"1580","fcstfan","22327","Mayhem In The Morra","16","3. The d5-square - Ring Of Fire","4","1","75"
"1580","fcstfan","22327","Mayhem In The Morra","17","4. The Sensitive e6/f7 Complex","136","18","86.76"
"1580","fcstfan","22327","Mayhem In The Morra","18","5. More Morra Guidelines","52","8","84.62"
"1580","fcstfan","23781","Thematic Tactics: Benko Gambit","1","1. Simple Tactics","12","1","91.67"
"1580","fcstfan","25950","Short & Sweet: The French Defense","0","1. Main Level","189","12","93.65"
"1580","fcstfan","53370","Dvoretsky's Endgame Manual 5th edition, revised by GM Karsten Müller","2","Chapter 1 – Pawn Endgames I","619","83","86.59"
"1580","fcstfan","53370","Dvoretsky's Endgame Manual 5th edition, revised by GM Karsten Müller","3","Chapter 1 – Pawn Endgames II","875","106","87.89"
"1580","fcstfan","53370","Dvoretsky's Endgame Manual 5th edition, revised by GM Karsten Müller","4","Chapter 1 – Pawn Endgames III","2133","229","89.26"
"1580","fcstfan","53370","Dvoretsky's Endgame Manual 5th edition, revised by GM Karsten Müller","5","Chapter 2 – Knight versus Pawns","418","36","91.39"
"1580","fcstfan","53370","Dvoretsky's Endgame Manual 5th edition, revised by GM Karsten Müller","6","Chapter 3 – Knight Endgames","92","12","86.96"
"1580","fcstfan","53370","Dvoretsky's Endgame Manual 5th edition, revised by GM Karsten Müller","7","Chapter 4 – Bishop versus Pawns","274","43","84.31"
"1580","fcstfan","53370","Dvoretsky's Endgame Manual 5th edition, revised by GM Karsten Müller","8","Chapter 5 – Opposite-Color Bishops","274","42","84.67"
"1580","fcstfan","53370","Dvoretsky's Endgame Manual 5th edition, revised by GM Karsten Müller","12","Chapter 9 – Rook Endgames I","704","138","80.4"
"1580","fcstfan","59857","Short & Sweet: Wesley So's 1. e4","0","Part 1: 1...e5 and Semi-open Defenses","2186","201","90.81"
"1580","fcstfan","59936","Grandmaster Gambits: 1. e4","1","Quickstarter Guide","378","28","92.59"
"1580","fcstfan","59936","Grandmaster Gambits: 1. e4","13","Theory 2A: The Petroff","215","24","88.84"
"1580","fcstfan","59936","Grandmaster Gambits: 1. e4","16","Theory 2B: The Philidor","149","16","89.26"
"1580","fcstfan","59936","Grandmaster Gambits: 1. e4","26","Theory 4: Advance French Introduction","122","8","93.44"
"1580","fcstfan","62067","Short & Sweet: 1. e4 Gambits","0","S&S: Grandmaster Gambits 1. e4","7756","390","94.97"
"1580","fcstfan","67152","Winning Chess Endings: Free Lesson","0","Winning Chess Endings: Free Lesson","210","10","95.24"
"1678","Constantine73","34278","Short & Sweet - The Modern Defense","0","1. S&S: The Modern Defence","745","26","96.51"
"1678","Constantine73","42898","Timeless Technique: Strategic Endgames","2","3. Weaknesses","47","1","97.87"
"1678","Constantine73","42898","Timeless Technique: Strategic Endgames","3","4. Activity","64","2","96.88"
"1678","Constantine73","47519","Lifetime Repertoires: Sam Shankland's 1. d4 - Part 1: Sidelines","8","10. Dutch Leningrad","48","0","100"
"1678","Constantine73","47519","Lifetime Repertoires: Sam Shankland's 1. d4 - Part 1: Sidelines","12","14. Budapest","364","27","92.58"
"1678","Constantine73","48516","25 Visualisation Exercises","2","2. Visualise 1 Sample Exercises","46","0","100"
"1678","Constantine73","48516","25 Visualisation Exercises","3","3. Visualise 5 Sample Exercies","16","0","100"
"1678","Constantine73","48516","25 Visualisation Exercises","4","4. Visualise 4 Sample Exercises","23","4","82.61"
"1678","Constantine73","48516","25 Visualisation Exercises","5","5. Visualise 3 Sample Exercises","21","0","100"
"1678","Constantine73","48516","25 Visualisation Exercises","6","6. Visualise 2 Sample Exercises","25","2","92"
"1678","Constantine73","54542","Short & Sweet: Sam Shankland's 1. d4","0","Main Level","162","1","99.38"
"1678","Constantine73","55957","The Psychology of Chess Tactics ","0","Course Introduction ","15","0","100"
"1678","Constantine73","55957","The Psychology of Chess Tactics ","1","The Opening in Theory and Practice ","74","5","93.24"
"1678","Constantine73","55957","The Psychology of Chess Tactics ","4","The Process of Solving a Chess Puzzle ","43","3","93.02"
"2018","MattyDPerrine","5193","100 Endgames You Must Know","0","2. Basic Endings","100","0","100"
"2018","MattyDPerrine","5193","100 Endgames You Must Know","1","4. Knight vs. Pawn","28","0","100"
"2018","MattyDPerrine","5193","100 Endgames You Must Know","2","5. Queen vs. Pawn","75","2","97.33"
"2018","MattyDPerrine","5193","100 Endgames You Must Know","8","3. Basic Test","174","26","85.06"
"2018","MattyDPerrine","17599","Sharp Middle Games: A Practical Guide to Chess Calculation","3","1. The Process of Elimination","216","43","80.09"
"2018","MattyDPerrine","23541","Short & Sweet: The Najdorf Sicilian","0","1. Main Level","39","0","100"
"2018","MattyDPerrine","31529","Lifetime Repertoires: Semi-Slav","0","3. Early Sidelines","170","3","98.24"
"2018","MattyDPerrine","31529","Lifetime Repertoires: Semi-Slav","1","1. Introduction","8","0","100"
"2018","MattyDPerrine","31529","Lifetime Repertoires: Semi-Slav","2","4. Veresov  (1. d4 d5 2. Nc3)","194","3","98.45"
"2018","MattyDPerrine","31529","Lifetime Repertoires: Semi-Slav","3","5. London (2. Bf4 c5)","385","11","97.14"
"2018","MattyDPerrine","31529","Lifetime Repertoires: Semi-Slav","4","6. The Dreaded Slav-Exchange","222","1","99.55"
"2018","MattyDPerrine","31529","Lifetime Repertoires: Semi-Slav","5","7. 4th moves","38","0","100"
"2018","MattyDPerrine","31529","Lifetime Repertoires: Semi-Slav","6","8. 4. e3","178","4","97.75"
"2018","MattyDPerrine","31529","Lifetime Repertoires: Semi-Slav","7","9. 5th moves","44","0","100"
"2018","MattyDPerrine","31529","Lifetime Repertoires: Semi-Slav","8","10. Delayed Meran (7. g4 h6)","104","1","99.04"
"2018","MattyDPerrine","31529","Lifetime Repertoires: Semi-Slav","9","11. Delayed Meran (7. b3)","196","0","100"
"2018","MattyDPerrine","31529","Lifetime Repertoires: Semi-Slav","12","14. Open Meran (8... Bd6)","34","2","94.12"
"2018","MattyDPerrine","31529","Lifetime Repertoires: Semi-Slav","13","16. Cambridge Springs (6. cxd5)","78","0","100"
"2018","MattyDPerrine","31529","Lifetime Repertoires: Semi-Slav","15","18. Cambridge Springs (7. Nd2 Bb4)","200","2","99"
"2018","MattyDPerrine","31529","Lifetime Repertoires: Semi-Slav","17","2. Quickstarter Guide","851","15","98.24"
"2018","MattyDPerrine","31529","Lifetime Repertoires: Semi-Slav","18","15. Cambridge Springs - 6th moves","68","0","100"
"2018","MattyDPerrine","38349","Lifetime Repertoires: Wesley So's 1. e4 (Part 1)","17","22. Modern: 4. Be3 Sidelines","24","1","95.83"
"2018","MattyDPerrine","39556","Chess Principles Reloaded - Center","13","2. Seize the Center","35","4","88.57"
"2018","MattyDPerrine","39556","Chess Principles Reloaded - Center","14","3. A Dominating Pawn Center","79","16","79.75"
"2018","MattyDPerrine","39556","Chess Principles Reloaded - Center","15","4. Fighting Back - Reclaiming Lost Territory","72","13","81.94"
"2018","MattyDPerrine","39556","Chess Principles Reloaded - Center","16","6. The Central Aspect of Weak Squares","27","5","81.48"
"2018","MattyDPerrine","39556","Chess Principles Reloaded - Center","17","5. The Central Strategies of Closed Pawn Structures","102","22","78.43"
"2018","MattyDPerrine","42325","Double-sided Mates in 1","12","2. Pawn Mates in 1","6","0","100"
"2018","MattyDPerrine","46204","Short & Sweet: The Aggressive Queen's Gambit Declined","0","1. Main Level","165","0","100"
"2018","MattyDPerrine","49094","The Initiative in Chess - a How to Guide","3","1. Introduction","58","11","81.03"
"2018","MattyDPerrine","49094","The Initiative in Chess - a How to Guide","4","2. Dynamics and Initiative in the Middlegame","484","106","78.1"
"2018","MattyDPerrine","50034","Winning Chess Strategies: Free Lesson","2","1. Winning Chess Strategies: Free Lesson","9","3","66.67"
"2018","MattyDPerrine","50567","Chess Principles Reloaded - Development","1","4. When One Piece Ruins It All","183","45","75.41"
"2018","MattyDPerrine","50567","Chess Principles Reloaded - Development","2","5. Development in the Endgame","135","29","78.52"
"2018","MattyDPerrine","50567","Chess Principles Reloaded - Development","4","3. Contemporary Gambit Play","300","66","78"
"2018","MattyDPerrine","50567","Chess Principles Reloaded - Development","5","2. Morphy and His Great Successors","237","55","76.79"
